
Dies[A,A,E,E,G,N,][A,B,B,J,O,O,][A,C,H,O,P,S,][A,F,F,K,P,S,][A,O,O,T,T,W,][C,I,M,O,T,U,][D,E,I,L,R,X,][D,E,L,R,V,Y,][D,I,S,T,T,Y,][E,E,G,H,N,W,][E,E,I,N,S,U,][E,H,R,T,V,W,][E,I,O,S,S,T,][E,L,R,T,T,Y,][H,I,M,N,U,Qu,][H,L,N,N,R,Z,]
board:B W E T E E L S N O V E W F O X 	n_words 112 	avg 1.12e+02 	std 0.0 	min 112 	max 112 	N 1	words:['bee', 'bees', 'beet', 'beetle', 'bel', 'below', 'belt', 'ben', 'bene', 'bevel', 'eel', 'eleven', 'elevon', 'els', 'else', 'enol', 'enow', 'eon', 'eve', 'even', 'ewe', 'foe', 'fon', 'fool', 'fools', 'foveole', 'foveolet', 'fox', 'leben', 'lee', 'leet', 'leno', 'leone', 'let', 'lev', 'levee', 'levo', 'lex', 'lone', 'loo', 'loof', 'love', 'loves', 'low', 'lown', 'neb', 'nee', 'neve', 'new', 'newel', 'noel', 'noo', 'novel', 'now', 'oes', 'ole', 'oleo', 'one', 'oven', 'own', 'see', 'seel', 'sel', 'set', 'seven', 'sew', 'sex', 'sleet', 'sleeve', 'slew', 'sloe', 'sloven', 'slow', 'steel', 'steeve', 'stele', 'stew', 'svelte', 'tee', 'teel', 'teen', 'tel', 'tele', 'teles', 'telex', 'tels', 'tew', 'vee', 'vest', 'vestee', 'vex', 'voe', 'vole', 'volt', 'volte', 'vow', 'web', 'wee', 'ween', 'wees', 'weet', 'welt', 'welts', 'wen', 'west', 'wet', 'woe', 'won', 'woo', 'woof', 'wove', 'woven']
board:E A S I N O S T V H E I R A S H 	n_words 93 	avg 86.5 	std 54.8 	min 26 	max 301 	N 31	words:['aeon', 'ane', 'arvo', 'ash', 'ass', 'asses', 'asset', 'avo', 'avos', 'avoset', 'ear', 'ease', 'easies', 'east', 'enosis', 'eon', 'ess', 'hae', 'haet', 'has', 'hash', 'hear', 'heh', 'heist', 'hes', 'hest', 'het', 'hie', 'his', 'hiss', 'hist', 'hit', 'hoe', 'hon', 'hone', 'hose', 'host', 'issei', 'its', 'nae', 'nasties', 'noes', 'noesis', 'noh', 'nos', 'nose', 'nosh', 'nova', 'oast', 'oes', 'one', 'ose', 'ova', 'ras', 'rase', 'rash', 'rashes', 'rhea', 'rho', 'sane', 'sash', 'sea', 'sear', 'seas', 'sei', 'seis', 'set', 'sets', 'sha', 'she', 'shea', 'shear', 'shies', 'shist', 'shit', 'shoe', 'shoes', 'sis', 'sit', 'site', 'son', 'sone', 'sos', 'tea', 'tear', 'teas', 'tie', 'tis', 'tisane', 'var', 'vas', 'vase', 'voe']
board:B M C N D G O H T E R T A L O Qu 	n_words 125 	avg 87.7 	std 54.3 	min 26 	max 301 	N 32	words:['aeon', 'aero', 'ale', 'alert', 'aloe', 'alt', 'alter', 'ate', 'chon', 'chore', 'chorea', 'coed', 'cog', 'comb', 'con', 'cor', 'core', 'cored', 'cot', 'deal', 'del', 'delta', 'eat', 'ego', 'eon', 'erg', 'ergo', 'ergot', 'eta', 'ged', 'gel', 'gelt', 'get', 'geta', 'goer', 'gor', 'gore', 'got', 'great', 'grot', 'hoe', 'hoed', 'hoer', 'hog', 'hon', 'hot', 'lat', 'late', 'later', 'lea', 'led', 'leg', 'let', 'lore', 'lot', 'loth', 'moc', 'mog', 'mon', 'mor', 'more', 'morel', 'mort', 'mot', 'moth', 'motor', 'noel', 'nog', 'noh', 'nom', 'nor', 'north', 'not', 'ochre', 'ochrea', 'ogre', 'ole', 'olea', 'oleo', 'ore', 'orgeat', 'orle', 'ort', 'ortho', 'quoth', 'real', 'red', 'reg', 'ret', 'rho', 'rhomb', 'roc', 'roe', 'role', 'rom', 'rot', 'roto', 'tae', 'tael', 'tale', 'taler', 'tea', 'teal', 'ted', 'teg', 'tel', 'tela', 'tho', 'thoro', 'threat', 'thro', 'throe', 'toe', 'tog', 'tola', 'tole', 'toled', 'tom', 'tomb', 'ton', 'tor', 'tore', 'toro', 'treat', 'tret']
board:Y T D F W G H P Z D R O T I X O 	n_words 23 	avg 85.7 	std 54.6 	min 23 	max 301 	N 33	words:['dit', 'ditz', 'droop', 'drop', 'grid', 'grit', 'hop', 'ooh', 'oxid', 'pht', 'poor', 'poori', 'pox', 'pro', 'rho', 'rid', 'ritz', 'tho', 'thoro', 'thorp', 'thro', 'tiro', 'zit']
board:Y T X H Y N E B E H U K R W O E 	n_words 61 	avg 85.0 	std 54.0 	min 23 	max 301 	N 34	words:['ben', 'bene', 'bent', 'bet', 'buhr', 'bun', 'bunt', 'eke', 'heh', 'hen', 'hent', 'her', 'het', 'hew', 'hex', 'hey', 'hoe', 'hoke', 'how', 'howe', 'hub', 'hue', 'hun', 'hunt', 'ken', 'kent', 'kex', 'kue', 'neb', 'net', 'neuk', 'new', 'next', 'nub', 'nuke', 'oke', 'okeh', 'owe', 'rent', 'rente', 'rewoke', 'rho', 'ten', 'tye', 'tyer', 'tyne', 'uke', 'wen', 'went', 'when', 'whet', 'whey', 'who', 'why', 'woe', 'wok', 'woke', 'wren', 'yen', 'yente', 'yew']
board:S E E M S D L J A N E A F U D E 	n_words 94 	avg 85.3 	std 53.2 	min 23 	max 301 	N 35	words:['adeem', 'ads', 'ale', 'alme', 'and', 'ane', 'anele', 'ass', 'dal', 'dale', 'dales', 'dead', 'deal', 'dee', 'deed', 'deem', 'dees', 'del', 'dele', 'delead', 'den', 'dens', 'dense', 'denude', 'desand', 'duad', 'due', 'duel', 'duende', 'dun', 'dune', 'eel', 'eld', 'elm', 'end', 'endless', 'ens', 'ess', 'fad', 'fade', 'faded', 'fan', 'fane', 'fas', 'faun', 'fud', 'fuel', 'fun', 'fund', 'jade', 'jaded', 'jee', 'jeu', 'lad', 'lade', 'laden', 'lea', 'lead', 'led', 'lee', 'lend', 'lens', 'lense', 'less', 'leu', 'leud', 'med', 'meed', 'mel', 'meld', 'melee', 'nee', 'need', 'nude', 'sad', 'sade', 'sand', 'sandal', 'sands', 'sane', 'sau', 'sedan', 'see', 'seed', 'seeds', 'seel', 'seem', 'sel', 'snafu', 'sned', 'unde', 'unlade', 'unlead', 'uns']
board:T G G N S R T Qu I Y S R H Y I J 	n_words 8 	avg 83.1 	std 54.0 	min 8 	max 301 	N 36	words:['grist', 'his', 'hist', 'sir', 'sri', 'sty', 'try', 'tryst']
board:Y G E S B P I H R W A Y D Qu Z R 	n_words 67 	avg 82.7 	std 53.3 	min 8 	max 301 	N 37	words:['ais', 'ape', 'apish', 'egis', 'geisha', 'gie', 'gip', 'gyp', 'hap', 'haw', 'hay', 'hep', 'hes', 'hie', 'hip', 'his', 'pah', 'par', 'paw', 'pay', 'peg', 'peh', 'pes', 'pia', 'pie', 'pig', 'pis', 'pish', 'qua', 'quai', 'quay', 'raise', 'rap', 'rape', 'rapes', 'raw', 'ray', 'rya', 'seg', 'sei', 'sepia', 'sha', 'shape', 'shaw', 'shay', 'she', 'ship', 'shipway', 'shy', 'sip', 'sipe', 'wap', 'war', 'way', 'wig', 'wipe', 'wis', 'wise', 'wish', 'yah', 'yap', 'yar', 'yaw', 'yawp', 'yip', 'yipe', 'zap']
board:O E O G T E T V N O R D U O Qu A 	n_words 79 	avg 82.6 	std 52.6 	min 8 	max 301 	N 38	words:['are', 'arete', 'art', 'arvo', 'dare', 'dart', 'dree', 'drone', 'eon', 'era', 'goer', 'got', 'nee', 'nerd', 'net', 'noo', 'nor', 'not', 'note', 'noter', 'one', 'onto', 'oot', 'ora', 'ore', 'ort', 'qua', 'quad', 'quadroon', 'quart', 'quarte', 'quartet', 'quarto', 'quote', 'quoter', 'rad', 'ree', 'rent', 'rente', 'ret', 'rete', 'roe', 'root', 'rot', 'rote', 'roto', 'tee', 'teen', 'ten', 'tenor', 'tent', 'tet', 'tetra', 'tetrad', 'toe', 'tog', 'ton', 'tone', 'toner', 'too', 'toon', 'tor', 'tora', 'tore', 'toro', 'tort', 'torte', 'tot', 'tote', 'toter', 'trad', 'tree', 'tret', 'trone', 'trot', 'unto', 'voe', 'vote', 'voter']
board:U E R N H J L T E K O T A S Y - 	n_words 126 	avg 83.7 	std 52.4 	min 8 	max 301 	N 39	words:['ask', 'asks', 'asp', 'ass', 'easy', 'elk', 'els', 'ern', 'espy', 'ess', 'helo', 'helos', 'helot', 'helots', 'help', 'helps', 'her', 'herl', 'hern', 'hes', 'hue', 'jehu', 'jeu', 'joke', 'jokes', 'jole', 'jolt', 'jolts', 'jot', 'jots', 'jouk', 'jouks', 'jow', 'jows', 'joy', 'joys', 'juke', 'jukes', 'jus', 'jut', 'kae', 'kas', 'kea', 'kos', 'leu', 'lose', 'lot', 'lots', 'lotus', 'louse', 'low', 'lows', 'lowse', 'lox', 'lyse', 'oka', 'okas', 'oke', 'okeh', 'okes', 'ole', 'ose', 'owse', 'rely', 'ryke', 'rykes', 'sake', 'sea', 'ska', 'ska', 'skas', 'sky', 'sky', 'soke', 'sol', 'sole', 'sot', 'sou', 'souk', 'sow', 'sox', 'soy', 'spy', 'sty', 'sutler', 'syke', 'syke', 'sykes', 'toke', 'tokes', 'tole', 'tot', 'tots', 'touse', 'tow', 'tows', 'toy', 'toys', 'try', 'tsk', 'tsks', 'tusk', 'tut', 'tyke', 'tyke', 'tykes', 'ukase', 'uke', 'ukes', 'use', 'vole', 'volt', 'wok', 'woke', 'woks', 'wos', 'wot', 'yok', 'yok', 'yoke', 'yoke', 'yokes', 'yoks', 'yolk', 'yolk', 'yolks']
board:T N Qu C Y L D O G A E D A I H E 	n_words 74 	avg 83.5 	std 51.8 	min 8 	max 301 	N 40	words:['aah', 'aal', 'add', 'ado', 'aga', 'agly', 'ale', 'alga', 'alt', 'cod', 'coda', 'coddle', 'code', 'codeia', 'coed', 'dag', 'dah', 'dal', 'dale', 'daledh', 'day', 'dead', 'deal', 'dee', 'deed', 'del', 'delay', 'dhal', 'doc', 'doe', 'eddo', 'edh', 'eel', 'eld', 'gad', 'gae', 'gal', 'gale', 'gay', 'gie', 'glad', 'glade', 'gled', 'glede', 'glee', 'gleed', 'had', 'hade', 'hae', 'hag', 'hale', 'halt', 'hay', 'head', 'heal', 'heddle', 'heed', 'heel', 'held', 'hie', 'lad', 'lade', 'lag', 'lay', 'lea', 'lead', 'led', 'lee', 'lei', 'odd', 'ode', 'quod', 'yagi', 'yah']
board:A B I O R F H T R V I M T H I O 	n_words 20 	avg 81.9 	std 52.1 	min 8 	max 301 	N 41	words:['arb', 'arf', 'bar', 'barf', 'bio', 'bit', 'bra', 'brr', 'far', 'fib', 'fit', 'him', 'hit', 'hot', 'mho', 'ohm', 'omit', 'thio', 'tho', 'vim']
board:D R H X L O F T B M W I C S I - 	n_words 203 	avg 84.8 	std 54.7 	min 8 	max 301 	N 42	words:['blow', 'blows', 'bod', 'bold', 'bow', 'bows', 'dol', 'dom', 'doms', 'dor', 'dow', 'dows', 'fiord', 'fisc', 'fit', 'fjord', 'fob', 'foh', 'fold', 'food', 'fool', 'for', 'ford', 'fro', 'from', 'frow', 'frows', 'hob', 'hod', 'hold', 'holm', 'holms', 'homo', 'homos', 'how', 'howf', 'hows', 'ism', 'ism', 'jism', 'job', 'jobs', 'kif', 'kit', 'kith', 'kob', 'kobs', 'kor', 'lift', 'limb', 'limbo', 'limbs', 'limo', 'lis', 'lit', 'litho', 'lob', 'lobs', 'loft', 'lofts', 'lord', 'low', 'lows', 'mim', 'mis', 'misword', 'mob', 'mobs', 'mod', 'mol', 'mold', 'mom', 'momi', 'moms', 'moo', 'mood', 'mool', 'moor', 'mor', 'mos', 'mot', 'moth', 'motif', 'mow', 'mufti', 'mus', 'mut', 'nim', 'nims', 'nit', 'nob', 'nobs', 'nod', 'noh', 'nom', 'noms', 'nor', 'nth', 'oft', 'old', 'omit', 'oms', 'ooh', 'osmol', 'pis', 'pit', 'pith', 'pod', 'poh', 'pol', 'pom', 'poms', 'psi', 'rho', 'rhomb', 'rif', 'rift', 'rim', 'rims', 'rob', 'robs', 'rod', 'rom', 'roms', 'row', 'rowth', 'sift', 'sim', 'sim', 'sims', 'sis', 'sit', 'sith', 'ski', 'skit', 'slit', 'slob', 'smit', 'smith', 'smut', 'snit', 'snob', 'sob', 'sobs', 'sod', 'soft', 'sol', 'sold', 'sord', 'sot', 'soth', 'spit', 'sri', 'stob', 'suit', 'sum', 'sumo', 'swift', 'swift', 'swim', 'swith', 'swith', 'swob', 'sword', 'tho', 'thro', 'throb', 'throw', 'throws', 'tis', 'tit', 'tod', 'toft', 'told', 'tom', 'tomb', 'tombs', 'toms', 'too', 'tool', 'toom', 'tor', 'trim', 'trims', 'trod', 'tui', 'tuis', 'tumor', 'two', 'umbo', 'vim', 'vims', 'vis', 'wis', 'wit', 'wit', 'with', 'with', 'wold', 'womb', 'wombs', 'word', 'world']
board:I S D A F R R A I A I A I L G E 	n_words 75 	avg 84.6 	std 54.0 	min 8 	max 301 	N 43	words:['ads', 'aga', 'agar', 'age', 'ail', 'air', 'airs', 'alga', 'algae', 'alif', 'arf', 'aria', 'aril', 'arris', 'ars', 'drag', 'drail', 'ear', 'ears', 'egal', 'fag', 'fail', 'fair', 'far', 'farad', 'fard', 'fiar', 'fil', 'fila', 'filar', 'filaria', 'fir', 'firs', 'frag', 'frail', 'friar', 'frig', 'gae', 'gal', 'gar', 'gear', 'gears', 'gie', 'gird', 'glair', 'glia', 'ilia', 'iliad', 'iris', 'lag', 'lair', 'laird', 'lar', 'lard', 'lari', 'liar', 'liard', 'lie', 'lira', 'liri', 'rad', 'rag', 'raga', 'rage', 'ragi', 'raia', 'rail', 'ria', 'rial', 'rif', 'rig', 'sir', 'sirdar', 'sirra', 'sri']
board:A I N Y I O R W N I F A B N R I 	n_words 50 	avg 83.8 	std 53.7 	min 8 	max 301 	N 44	words:['ain', 'air', 'airn', 'arf', 'aria', 'awn', 'bin', 'bio', 'fair', 'far', 'faro', 'fawn', 'fiar', 'fib', 'fin', 'fino', 'fir', 'firn', 'foin', 'fon', 'for', 'fora', 'friar', 'fro', 'fry', 'info', 'infra', 'inn', 'inro', 'ion', 'iron', 'nib', 'ninon', 'noir', 'nonwar', 'nor', 'nori', 'noria', 'ora', 'raw', 'ria', 'rib', 'rif', 'rin', 'waif', 'wair', 'war', 'warn', 'wry', 'wyn']
board:S S T V W G M I E A N L T T R U 	n_words 163 	avg 85.5 	std 54.3 	min 8 	max 301 	N 45	words:['age', 'ami', 'amin', 'angst', 'ani', 'anil', 'ant', 'ante', 'art', 'ate', 'att', 'awe', 'ear', 'earl', 'earn', 'eat', 'eta', 'etamin', 'etna', 'gae', 'gam', 'gamin', 'gan', 'gar', 'garni', 'gat', 'gate', 'gear', 'get', 'geta', 'gnar', 'gnarl', 'gnat', 'gnaw', 'gnu', 'image', 'ingate', 'inmate', 'its', 'lima', 'liman', 'limn', 'lin', 'linage', 'ling', 'linga', 'lingam', 'lint', 'lit', 'luna', 'lunar', 'lunate', 'lung', 'lunge', 'lunt', 'mae', 'mag', 'mage', 'man', 'mange', 'mar', 'marl', 'marlin', 'marling', 'mart', 'mat', 'mate', 'matt', 'matte', 'maw', 'mil', 'mina', 'mint', 'mintage', 'nae', 'nag', 'nam', 'naw', 'nil', 'nim', 'nit', 'nurl', 'rag', 'rage', 'ram', 'rami', 'rams', 'ramtil', 'ran', 'rang', 'range', 'rani', 'rant', 'rat', 'rate', 'raw', 'ruling', 'run', 'rung', 'runt', 'smart', 'smit', 'sting', 'stint', 'swag', 'swage', 'swam', 'swami', 'swan', 'swart', 'swat', 'swear', 'sweat', 'tae', 'tag', 'tam', 'tan', 'tang', 'tar', 'tarn', 'tart', 'tat', 'tate', 'taw', 'taws', 'tea', 'team', 'teams', 'tear', 'teat', 'teg', 'tegmina', 'tet', 'tetra', 'tew', 'til', 'tin', 'ting', 'tinge', 'tint', 'tram', 'ulna', 'unit', 'unlit', 'urate', 'urn', 'vim', 'vina', 'vintage', 'wae', 'wag', 'wage', 'wags', 'wan', 'want', 'war', 'warn', 'wart', 'wat', 'watt', 'wean', 'wear', 'wet']
board:I N R T O P L P S E E M H M A T 	n_words 117 	avg 86.2 	std 53.9 	min 8 	max 301 	N 46	words:['aeon', 'amp', 'ample', 'ate', 'eat', 'eel', 'elm', 'eme', 'emes', 'eon', 'epos', 'eta', 'heat', 'heel', 'helm', 'helmet', 'help', 'helpmate', 'hem', 'heme', 'hems', 'hep', 'hes', 'inlet', 'ion', 'lea', 'lee', 'leet', 'lept', 'let', 'mae', 'maes', 'mat', 'mate', 'meat', 'meet', 'mel', 'melt', 'mem', 'mems', 'mesh', 'meson', 'met', 'meta', 'nip', 'noel', 'noes', 'nos', 'nose', 'nosh', 'oes', 'ope', 'ops', 'ose', 'pea', 'peat', 'pee', 'peel', 'peep', 'peeps', 'pees', 'peh', 'pele', 'pelmet', 'pelt', 'peon', 'pep', 'pepo', 'peps', 'pes', 'peso', 'pet', 'pin', 'pion', 'plea', 'pleat', 'poem', 'poi', 'pose', 'posh', 'sea', 'seam', 'seat', 'see', 'seel', 'seem', 'seep', 'sel', 'seme', 'she', 'shea', 'sheep', 'sheet', 'smelt', 'son', 'sop', 'speel', 'spelt', 'spin', 'tae', 'tael', 'tam', 'tame', 'tames', 'tamp', 'tea', 'team', 'teams', 'tee', 'teel', 'teem', 'tel', 'tele', 'teles', 'temp', 'temple', 'tempt']
board:A I E O E R H F T T T Z M C O H 	n_words 67 	avg 85.8 	std 53.4 	min 8 	max 301 	N 47	words:['aerie', 'aether', 'air', 'airt', 'airth', 'are', 'art', 'cot', 'cote', 'coterie', 'cotter', 'coz', 'ear', 'earth', 'eft', 'era', 'ere', 'eth', 'ether', 'feh', 'fer', 'fere', 'feria', 'foe', 'foh', 'heft', 'heir', 'her', 'here', 'hereto', 'hertz', 'hie', 'hire', 'hoe', 'hoer', 'hot', 'ire', 'octet', 'oft', 'ohia', 'other', 'otter', 'ref', 'rei', 'ret', 'rho', 'ria', 'tea', 'tear', 'terai', 'tet', 'teth', 'tether', 'tetra', 'the', 'theft', 'their', 'there', 'thereto', 'thir', 'tho', 'tot', 'tote', 'toter', 'totter', 'tref', 'tret']
board:I H I E S E H N T T T S A P L M 	n_words 56 	avg 85.2 	std 53.0 	min 8 	max 301 	N 48	words:['apt', 'ate', 'atheist', 'att', 'attest', 'ens', 'eta', 'eth', 'heh', 'heist', 'hen', 'hent', 'hes', 'hest', 'het', 'heth', 'hie', 'hin', 'hint', 'his', 'hist', 'ins', 'pat', 'pate', 'path', 'pats', 'sei', 'seine', 'set', 'seta', 'sets', 'sett', 'she', 'shies', 'shin', 'shine', 'shins', 'shtetl', 'stat', 'state', 'stein', 'stet', 'tap', 'tat', 'tate', 'test', 'testa', 'tet', 'teth', 'the', 'thein', 'theine', 'theist', 'then', 'theta', 'thin']
board:E T R M E O A T I - F V R I T T 	n_words 562 	avg 94.9 	std 85.4 	min 8 	max 562 	N 49	words:['afrit', 'aft', 'aft', 'age', 'agee', 'agio', 'ago', 'air', 'airt', 'ait', 'ajee', 'akee', 'ale', 'alee', 'alit', 'alt', 'ami', 'amie', 'amir', 'ane', 'ani', 'ant', 'ante', 'apt', 'arf', 'arm', 'arm', 'ars', 'art', 'art', 'arts', 'ate', 'att', 'bee', 'beet', 'bet', 'biform', 'bio', 'bit', 'bitt', 'bort', 'bot', 'brie', 'brio', 'brit', 'britt', 'cee', 'cete', 'coft', 'coir', 'cor', 'corm', 'cot', 'cote', 'dee', 'deet', 'die', 'diet', 'dit', 'doe', 'dor', 'dorm', 'dot', 'dote', 'drift', 'ear', 'eat', 'eff', 'effort', 'eft', 'ego', 'eke', 'elate', 'elf', 'eme', 'emf', 'emir', 'emit', 'enate', 'era', 'eta', 'eth', 'etna', 'fair', 'far', 'far', 'farm', 'farm', 'faro', 'faro', 'fart', 'fart', 'farts', 'fat', 'fat', 'fate', 'fate', 'fats', 'fee', 'feet', 'feirie', 'fer', 'fet', 'feta', 'fete', 'fetor', 'fiar', 'fiat', 'fie', 'fir', 'fir', 'firm', 'firn', 'firs', 'first', 'fist', 'fit', 'fit', 'flam', 'flat', 'flee', 'fleet', 'flit', 'foam', 'foam', 'fob', 'foci', 'foe', 'foe', 'fog', 'fogie', 'foh', 'fon', 'font', 'foot', 'fop', 'for', 'for', 'fora', 'fora', 'foram', 'foram', 'forb', 'force', 'ford', 'fore', 'forge', 'forget', 'fork', 'form', 'form', 'format', 'format', 'formate', 'forme', 'formee', 'former', 'forms', 'forrit', 'fort', 'fort', 'forte', 'forte', 'forth', 'forts', 'frat', 'frit', 'fritt', 'gam', 'gar', 'gat', 'gate', 'gee', 'get', 'geta', 'gie', 'gift', 'git', 'goa', 'goat', 'goatee', 'gor', 'got', 'graft', 'gram', 'grat', 'grate', 'grift', 'griot', 'grit', 'haft', 'ham', 'harm', 'hart', 'hat', 'hate', 'heir', 'het', 'hie', 'hit', 'hoar', 'hoe', 'hora', 'hot', 'ihram', 'ikat', 'imam', 'inarm', 'invar', 'iota', 'iota', 'irate', 'irk', 'jam', 'jar', 'jee', 'jet', 'jete', 'kaf', 'kafir', 'kart', 'kat', 'keet', 'keir', 'kif', 'kir', 'kit', 'kraft', 'lam', 'lar', 'lat', 'late', 'lav', 'lee', 'leet', 'lei', 'let', 'lie', 'lift', 'liri', 'lit', 'mae', 'maftir', 'maftir', 'mag', 'mage', 'magi', 'magot', 'mahoe', 'mair', 'make', 'male', 'malt', 'mamie', 'man', 'mane', 'map', 'mar', 'mar', 'mars', 'mart', 'mart', 'marts', 'mas', 'mast', 'mat', 'mate', 'mater', 'math', 'mats', 'matt', 'meet', 'merit', 'met', 'meta', 'mete', 'meteor', 'metro', 'mho', 'mir', 'miri', 'mite', 'mitt', 'mor', 'mort', 'mot', 'mote', 'nam', 'nee', 'net', 'nit', 'oaf', 'oaf', 'oafs', 'oak', 'oar', 'oar', 'oast', 'oat', 'oat', 'oater', 'oath', 'oats', 'obe', 'obi', 'obit', 'ode', 'oes', 'off', 'oft', 'oft', 'ogee', 'omit', 'oot', 'opt', 'ora', 'ora', 'orate', 'orate', 'orb', 'orbit', 'orc', 'ore', 'ors', 'ort', 'ort', 'ova', 'ovate', 'pie', 'pieta', 'pit', 'raft', 'raft', 'rag', 'rage', 'ragee', 'ragi', 'rah', 'raj', 'rake', 'rakee', 'raki', 'rale', 'ram', 'ram', 'ramee', 'ramet', 'rami', 'ramie', 'ran', 'ranee', 'rani', 'rant', 'rap', 'rapt', 'ras', 'rat', 'rate', 'rater', 'rath', 'rathe', 'ratio', 'ratite', 'rato', 'rato', 'rats', 'ree', 'ref', 'refit', 'reft', 'rei', 'reif', 'ret', 'rete', 'rev', 'rho', 'ria', 'rif', 'rif', 'rife', 'rifer', 'riff', 'rifle', 'rifs', 'rift', 'rift', 'rig', 'rigor', 'rile', 'rim', 'rime', 'rin', 'riot', 'riot', 'riots', 'rip', 'rite', 'roam', 'roar', 'rob', 'robe', 'roc', 'rod', 'rode', 'roe', 'rolf', 'rom', 'roof', 'root', 'rot', 'rot', 'rota', 'rote', 'roti', 'rotl', 'roto', 'rots', 'sift', 'sir', 'tae', 'tag', 'tahr', 'taj', 'take', 'tale', 'tali', 'tam', 'tam', 'tame', 'tan', 'tao', 'tap', 'tapir', 'tar', 'tar', 'taro', 'tarot', 'tarot', 'tarp', 'tars', 'tarsi', 'tart', 'tart', 'tarter', 'tarts', 'tas', 'tat', 'tat', 'tate', 'tater', 'tats', 'tav', 'tav', 'tea', 'team', 'tear', 'teat', 'tee', 'teel', 'teem', 'teen', 'tees', 'teff', 'teg', 'tel', 'tela', 'tele', 'ten', 'tent', 'term', 'test', 'tet', 'tetra', 'tharm', 'that', 'the', 'thee', 'their', 'thio', 'thir', 'tho', 'thrift', 'tie', 'tike', 'tiki', 'til', 'tile', 'tilt', 'time', 'tin', 'tine', 'tint', 'tip', 'tipi', 'tirl', 'tiro', 'tit', 'tod', 'toe', 'toe', 'toea', 'toes', 'toff', 'toft', 'toft', 'tog', 'toit', 'tom', 'ton', 'too', 'toot', 'top', 'topi', 'tor', 'tor', 'tora', 'tora', 'torc', 'tore', 'tori', 'torii', 'torn', 'toro', 'torot', 'torr', 'tors', 'torsi', 'tort', 'tort', 'torte', 'tost', 'tot', 'tote', 'tragi', 'trait', 'tram', 'tram', 'trap', 'trapt', 'tree', 'tref', 'tret', 'trio', 'trite', 'trod', 'trode', 'trop', 'trot', 'trot', 'vair', 'var', 'var', 'vars', 'vat', 'vats', 'vee', 'vert', 'vet', 'veto', 'vie', 'voe', 'vote']
board:O E T E K A A E W C E I Qu L H D 	n_words 80 	avg 94.6 	std 84.6 	min 8 	max 562 	N 50	words:['ace', 'aced', 'acedia', 'ache', 'aid', 'aide', 'ate', 'awl', 'caid', 'cake', 'cat', 'cate', 'caw', 'cedi', 'cee', 'cel', 'cheat', 'chi', 'chia', 'chid', 'chide', 'chiel', 'cleat', 'deck', 'dee', 'deet', 'del', 'die', 'diel', 'diet', 'eat', 'edh', 'eel', 'eide', 'eta', 'heat', 'heck', 'hid', 'hide', 'hie', 'idea', 'ideate', 'kae', 'kat', 'kata', 'kea', 'koa', 'lea', 'leach', 'leak', 'lech', 'led', 'lee', 'leet', 'lei', 'oak', 'oat', 'oka', 'oke', 'tace', 'tach', 'tache', 'tack', 'tae', 'tael', 'take', 'tao', 'taw', 'tea', 'teacake', 'teach', 'teak', 'tee', 'teel', 'wack', 'wacke', 'wacko', 'wae', 'wake', 'wat']
board:U L S A R M O S T S T U W L R T 	n_words 53 	avg 93.8 	std 84.0 	min 8 	max 562 	N 51	words:['ass', 'loss', 'lost', 'lot', 'lotus', 'lour', 'lout', 'lum', 'moa', 'mol', 'mos', 'moss', 'most', 'mot', 'mott', 'oast', 'our', 'ours', 'oust', 'out', 'outs', 'rum', 'rumour', 'rust', 'rut', 'slot', 'slum', 'slur', 'sol', 'sols', 'solum', 'sos', 'sot', 'sou', 'sour', 'sours', 'sous', 'stoa', 'stour', 'stout', 'strum', 'strut', 'sturt', 'tolu', 'tom', 'toss', 'tost', 'tour', 'tout', 'truss', 'trust', 'tut', 'utmost']
board:G H O S I M E G E E Y P U S O Z 	n_words 70 	avg 93.3 	std 83.2 	min 8 	max 562 	N 52	words:['ego', 'eme', 'emes', 'emeu', 'epos', 'eye', 'eyes', 'gee', 'gees', 'gem', 'gey', 'ghee', 'ghi', 'gie', 'gym', 'gyp', 'hem', 'heme', 'hep', 'hes', 'hey', 'hie', 'him', 'hoe', 'hog', 'hogs', 'home', 'homes', 'homey', 'hose', 'mho', 'mig', 'mog', 'mos', 'mosey', 'myope', 'oes', 'ogee', 'ohm', 'ope', 'ose', 'oyes', 'pee', 'pees', 'peg', 'peh', 'pes', 'peso', 'poem', 'pose', 'pye', 'see', 'seem', 'seep', 'sees', 'seg', 'sego', 'sei', 'seme', 'semes', 'semi', 'sepoy', 'some', 'sop', 'soy', 'sue', 'use', 'yes', 'zygose', 'zyme']
board:L N T L W C L A E L U H S B Y I 	n_words 54 	avg 92.6 	std 82.6 	min 8 	max 562 	N 53	words:['all', 'alls', 'ally', 'alt', 'bel', 'bell', 'buhl', 'bull', 'bulla', 'bulls', 'bully', 'buy', 'cel', 'cell', 'cella', 'clew', 'club', 'cub', 'cube', 'cull', 'cully', 'cult', 'eclat', 'ecu', 'ell', 'els', 'hall', 'halt', 'hat', 'haul', 'hub', 'hula', 'hull', 'lall', 'lat', 'lube', 'luce', 'lull', 'sec', 'sect', 'sel', 'sell', 'sew', 'slew', 'slub', 'sly', 'talc', 'tall', 'tally', 'tau', 'web', 'webs', 'well', 'yule']
